id,created_at,source,retweets,favorites,text
689458393283563520,2016-01-19T14:44:25Z,Twitter for iPhone,NA,NA,"Dope Frank Bruni said I called many people, including Karl Rove, losers-true! I never called my friend @HowardStern a loser- he’s a winner!"
689458468835569664,2016-01-19T14:44:43Z,Twitter for iPhone,NA,NA,Really disgusting that the failing New York Times allows dishonest writers to totally fabricate stories.
689463443791880192,2016-01-19T15:04:29Z,Twitter for iPhone,NA,NA,"On my way to Iowa- just received new national poll numbers. Thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/sQ9UEVW4Vp"
689466630741463040,2016-01-19T15:17:09Z,Twitter for iPhone,NA,NA,.@FreeJesseJames- Just read your complete statement. You are an amazing guy &amp; I really appreciate your words &amp; support. I will see you soon!
689467901582020608,2016-01-19T15:22:12Z,Twitter for iPhone,NA,NA,Thank you Georgia! I appreciate all of your support. #Trump2016 https://t.co/oNbgRpjKDl
689474228907716608,2016-01-19T15:47:20Z,Twitter for iPhone,NA,NA,"Thank you for your strong testimony when welcoming me to Liberty University, yesterday- @JerryJrFalwell. https://t.co/VJgj7AC5tE"
689482404990361600,2016-01-19T16:19:49Z,Twitter for iPhone,NA,NA,In the just released SC poll I increased my lead by 4 points since last poll by same firm. Up by 14! Cruz dropped 3. https://t.co/qM4JUsyaqH
689510460819828736,2016-01-19T18:11:19Z,Twitter for iPhone,NA,NA,A true honor to receive the endorsement of John Wayne's daughter....read: https://t.co/X6jR0WVBvd https://t.co/1e6gk0PsQH
689519657414320128,2016-01-19T18:47:51Z,Twitter for Android,NA,NA,"Wow, the highly respected Governor of Iowa just stated that ""Ted Cruz must be defeated."" Big shoker! People do not like Ted."
689574551294869504,2016-01-19T22:25:59Z,Twitter for iPhone,NA,NA,RT @EricTrump: I look forward to being on @CNN with @ErinBurnett at 7:40pmET. @realDonaldTrump
689576854089404416,2016-01-19T22:35:08Z,Twitter for iPhone,NA,NA,"“Palin’s brand among evangelicals is as gold as the faucets in Trump tower,” said Ralph Reed, the chairman of the Faith &amp; Freedom Coalition."
689625540722950144,2016-01-20T01:48:36Z,Twitter for iPhone,NA,NA,#Trump2016 #MakeAmericaGreatAgain #ECONOMY - VIDEO: https://t.co/KrCUSYFPLb https://t.co/KsVYviVdc2
689625883913560064,2016-01-20T01:49:58Z,Twitter for iPhone,NA,NA,"Judge Jeanine Slams GOP Establishment:
https://t.co/gEhfZ3NAhi"
689660056489431040,2016-01-20T04:05:45Z,Twitter for iPhone,NA,NA,"I am greatly honored to receive Sarah Palin's endorsement tonight. 
Video: https://t.co/4P7AMKI4iq https://t.co/bjTPvwM4nW"
689768040892792832,2016-01-20T11:14:50Z,Twitter for Android,NA,NA,"""@ron_fournier: President Donald Trump (just getting used to it)"" Wow, very nice!"
689768331776098304,2016-01-20T11:16:00Z,Twitter for Android,NA,NA,"""@nytimes: Breaking News: Sarah Palin has endorsed Donald Trump in the GOP primary - appeal to Tea Party loyalists https://t.co/9aKuuuD1wE"""
689804695221600256,2016-01-20T13:40:29Z,Twitter for iPhone,NA,NA,"#MakeAmericaGreatAgain #Trump2016
LIFE CHANGING EXPERIENCE
Video: https://t.co/8kAswDS0bc https://t.co/0bSTLvq7V9"
689838094158168064,2016-01-20T15:53:12Z,Twitter for iPhone,NA,NA,Great rally in Iowa! Such wonderful people. Traveling now with @SarahPalinUSA to Tulsa- massive crowd expected! https://t.co/gaK4KEbHOh
689870751374016512,2016-01-20T18:02:58Z,Twitter for iPhone,NA,NA,"RT @SarahPalinUSA: Trading in the beautiful snow of Iowa for the red dirt of Oklahoma as planned, despite what the media is try's no... htt…"
689913293759115264,2016-01-20T20:52:01Z,Twitter for iPhone,NA,NA,"15K in OK! Had to turn away 5k, but we are coming back soon to take care of them! So much love in the crowd! Thanks! https://t.co/XsOeREiYuA"
689941247549640704,2016-01-20T22:43:06Z,Twitter for iPhone,NA,NA,"Thank you, Florida! #Trump2016 https://t.co/npcw1AN2ht"
689941704342921216,2016-01-20T22:44:55Z,Twitter for iPhone,NA,NA,"Thank you, New Hampshire! #FITN
#Trump2016 #NHPolitics https://t.co/3FkMZpaEdR"
689955649137016832,2016-01-20T23:40:20Z,Twitter for iPhone,NA,NA,"Bob Dole Warns of ‘Cataclysmic’ Losses With Ted Cruz, and Says Donald Trump Would Do Better via New York Times: https://t.co/txEaLrZ4uY"
689956187434020864,2016-01-20T23:42:28Z,Twitter for iPhone,NA,NA,New CNN/WMUR New Hampshire poll just released. Thank you! #FITN #Trump2016 https://t.co/sZr9taU20G
690163844618956800,2016-01-21T13:27:37Z,Twitter for Android,NA,NA,"""@AnnCoulter: Trump destroyed Hillary &amp; Sanders moved in. But he didn't destroy her, Trump did. https://t.co/WAuaujsP1o"" So true!"
690167662698110976,2016-01-21T13:42:48Z,Twitter for Android,NA,NA,"Wacko @glennbeck is a sad answer to the @SarahPalinUSA endorsement that Cruz so desperately wanted. Glenn is a failing, crying, lost soul!"
690169884597092352,2016-01-21T13:51:37Z,Twitter for Android,NA,NA,"""@NeilTurner_: https://t.co/uvn95NB6M0 You're the only candidate we can trust, other candidates are controlled by their donors! #VoteTrump"""
690170154672529408,2016-01-21T13:52:42Z,Twitter for iPhone,NA,NA,"#MakeAmericaGreatAgain #Trump2016
UNIFYING THE NATION
Video: https://t.co/1ZWE5R183k https://t.co/Md10pL1wn8"
690171032150237184,2016-01-21T13:56:11Z,Twitter for Android,NA,NA,"""@bigop1: @realDonaldTrump  @SarahPalinUSA https://t.co/3kYQGqeVyD"""
690171403388104704,2016-01-21T13:57:39Z,Twitter for Android,NA,NA,"""@AmericanAsPie:  @glennbeck @SarahPalinUSA Remember when Glenn gave out gifts to ILLEGAL ALIENS at crossing the border? Me too!"""
690173226341691392,2016-01-21T14:04:54Z,Twitter for Android,NA,NA,So sad that @CNN and many others refused to show the massive crowd at the arena yesterday in Oklahoma. Dishonest reporting!
690176882055114752,2016-01-21T14:19:26Z,Twitter for Android,NA,NA,"Sad sack @JebBush has just done another ad on me, with special interest money, saying I won't beat Hillary - I WILL. But he can't beat me."
690180284189310976,2016-01-21T14:32:57Z,Twitter for Android,NA,NA,Low energy candidate @JebBush has wasted $80 million on his failed presidential campaign. Millions spent on me. He should go home and relax!
690271688127213568,2016-01-21T20:36:09Z,Twitter for iPhone,NA,NA,New Day on CNN treats me very badly. @AlisynCamerota is a disaster. Not going to watch anymore.
690272687168458752,2016-01-21T20:40:07Z,Twitter for Android,NA,NA,"Happy birthday to my friend, the great @jacknicklaus - a totally special guy!"
690313350278819840,2016-01-21T23:21:42Z,Twitter for iPhone,NA,NA,"Thank you, Iowa! #Trump2016 https://t.co/ryhEheTLqN"
690315202261155840,2016-01-21T23:29:04Z,Twitter for iPhone,NA,NA,Thank you! #Trump2016 https://t.co/pcdmyIO1Zt
